测量里程,中线北坐标X,中线东坐标Y,中线高程H
805420,3790370.791,482022.4099,41.1161
805421,3790369.797,482022.2943,41.1134
805422,3790368.804,482022.1783,41.1108
805423,3790367.811,482022.0618,41.1081
805424,3790366.818,482021.9448,41.1054
805425,3790365.825,482021.8274,41.1028
805426,3790364.832,482021.7094,41.1002
805427,3790363.839,482021.5911,41.0975
805428,3790362.846,482021.4722,41.0945
805429,3790361.853,482021.3529,41.0916
805430,3790360.86,482021.2331,41.0886
805431,3790359.868,482021.1128,41.0857
805432,3790358.875,482020.992,41.0827
805433,3790357.882,482020.8706,41.0798
805434,3790356.89,482020.7489,41.0768
805435,3790355.897,482020.6266,41.074
805436,3790354.905,482020.5037,41.0723
805437,3790353.913,482020.38,41.0698
805438,3790352.92,482020.2561,41.0668
805439,3790351.928,482020.132,41.0635
805440,3790350.936,482020.0078,41.0602
805441,3790349.944,482019.8837,41.057
805442,3790348.951,482019.7595,41.054
805443,3790347.959,482019.6339,41.0515
805444,3790346.967,482019.5063,41.0491
805445,3790345.976,482019.3788,41.0466
805446,3790344.984,482019.2519,41.0441
805447,3790343.992,482019.1247,41.0416
805448,3790343,482018.997,41.0391
805449,3790342.008,482018.869,41.0367
805450,3790341.016,482018.7405,41.0342
805451,3790340.025,482018.6116,41.0317
805452,3790339.033,482018.4823,41.0292
805453,3790338.042,482018.3526,41.0267
805454,3790337.05,482018.2224,41.0242
805455,3790336.059,482018.092,41.0216
805456,3790335.067,482017.9613,41.019
805457,3790334.076,482017.8303,41.0165
805458,3790333.085,482017.6989,41.0141
805459,3790332.093,482017.5671,41.0118
805459.4923,3790331.605,482017.5021,41.0107
805460,3790331.102,482017.435,41.0096
805461,3790330.111,482017.3025,41.0069
805462,3790329.12,482017.1697,41.0036
805463,3790328.129,482017.0366,41.0004
805464,3790327.138,482016.9032,40.9973
805465,3790326.147,482016.7694,40.9942
805466,3790325.156,482016.6353,40.9913
805467,3790324.165,482016.5009,40.9884
805468,3790323.174,482016.3662,40.9857
805469,3790322.183,482016.2313,40.983
805470,3790321.192,482016.096,40.9805
805471,3790320.201,482015.9605,40.978
805472,3790319.211,482015.8247,40.9757
805473,3790318.22,482015.6886,40.9734
805474,3790317.229,482015.5523,40.9709
805475,3790316.239,482015.4152,40.968
805476,3790315.248,482015.2764,40.9649
805477,3790314.258,482015.1388,40.9617
805478,3790313.267,482015.0015,40.9586
805479,3790312.277,482014.864,40.9555
805480,3790311.286,482014.7263,40.9524
805481,3790310.296,482014.5884,40.9494
805482,3790309.306,482014.4502,40.9464
805483,3790308.315,482014.3119,40.9434
805484,3790307.325,482014.1734,40.9405
805485,3790306.334,482014.0347,40.9375
805486,3790305.344,482013.8958,40.9345
805487,3790304.354,482013.7566,40.9316
805488,3790303.364,482013.6172,40.9286
805489,3790302.373,482013.4776,40.9256
805490,3790301.383,482013.3378,40.9227
805491,3790300.393,482013.198,40.9197
805492,3790299.403,482013.0579,40.9167
805493,3790298.413,482012.9178,40.9138
805494,3790297.423,482012.7775,40.9108
805495,3790296.433,482012.6371,40.9078
805496,3790295.442,482012.4966,40.9049
805497,3790294.452,482012.356,40.9019
805498,3790293.462,482012.2153,40.899
805499,3790292.472,482012.0745,40.896
805500,3790291.482,482011.9336,40.893
805501,3790290.492,482011.7927,40.8906
805502,3790289.502,482011.6516,40.8893
805503,3790288.512,482011.5106,40.8865
805504,3790287.522,482011.3694,40.8837
