¹ìÕí±àºÅ,²âÁ¿Àï³Ì,×ó¹ìºáÆ«,ÓÒ¹ìºáÆ«,×ó¹ìÊúÆ«,ÓÒ¹ìÊúÆ«
00,385084.191,-1,-1.4,17,17.2
01,385084.815,-1.1,-1.3,17.3,17.4
02,385085.565,-1.3,-1.4,17.6,17.7
03,385086.19,-1.4,-1.5,17.9,17.9
04,385086.815,-1.6,-1.9,18,18
05,385087.44,-1.8,-2.2,18,17.9
06,385088.065,-1.7,-2.3,18,17.8
07,385088.815,-1.9,-2.4,18.1,17.9
08,385089.439,-1.9,-2.3,18.3,18.1
09,385090.064,-2,-2.1,18.4,18.2
00,385090.689,-2.1,-2,18.5,18.3
01,385091.439,-2.2,-2.2,18.8,18.5
02,385092.065,-2.4,-2.4,19,18.9
03,385092.69,-2.9,-3,19.1,19.2
04,385093.314,-3.3,-3.4,19,19.3
05,385093.939,-3.3,-3.4,18.8,19.1
06,385094.689,-3.2,-3.1,18.4,18.6
07,385095.314,-3.3,-2.9,18.5,18.6
08,385095.939,-3.5,-2.7,19.2,19.2
09,385096.563,-3.6,-2.6,19.8,19.9
00,385097.188,-3.8,-2.5,19.9,20.1
01,385097.938,-3.8,-2.4,20,20.2
02,385098.563,-3.8,-2.3,20.1,20.4
03,385099.188,-3.8,-2.2,20.3,20.5
04,385099.813,-4,-2.2,20.4,20.5
05,385100.437,-3.9,-2.2,20.4,20.3
06,385101.187,-3.6,-1.9,20.4,20.3
07,385101.812,-3.6,-1.9,20.4,20.5
08,385102.437,-3.6,-1.8,20.5,20.8
09,385103.062,-3.5,-1.8,20.5,21
00,385103.687,-3.5,-2.4,20.6,21
01,385104.437,-3.3,-2.7,20.6,21
02,385105.062,-3.1,-2.6,20.7,21
03,385105.686,-2.8,-2.6,20.7,20.8
04,385106.312,-2.7,-2.6,20.7,20.7
05,385106.937,-2.6,-2.5,20.7,20.6
06,385107.687,-2.7,-2.3,20.7,20.5
07,385108.311,-2.8,-2.3,20.6,20.7
08,385108.936,-2.9,-2.2,20.5,20.9
09,385109.561,-3,-2.3,20.3,21
00,385110.186,-3,-2.2,20.2,20.9
01,385110.811,-2.8,-2,20.2,20.7
02,385111.561,-2.6,-1.8,20.5,20.5
03,385112.185,-2.4,-1.7,20.7,20.5
04,385112.81,-2.3,-1.7,20.9,20.5
05,385113.435,-2.2,-1.7,20.8,20.4
06,385114.06,-2.1,-1.7,20.5,20.2
07,385114.686,-2.3,-1.7,20.2,20
08,385115.436,-2.7,-1.9,19.8,19.9
09,385116.06,-2.8,-1.8,19.6,19.8
00,385116.685,-2.7,-1.5,19.6,19.8
01,385117.31,-2.6,-1.5,19.8,19.9
02,385118.06,-2.5,-1.5,20.1,19.9
03,385118.685,-2.4,-1.6,20.3,19.7
04,385119.31,-2.4,-1.8,20.5,19.5
05,385119.935,-2.6,-2,20.6,19.6
06,385120.56,-2.8,-2.1,20.6,19.8
07,385121.309,-2.9,-2.1,20.3,19.9
08,385121.934,-2.9,-2,20.1,19.9
09,385122.559,-2.9,-1.9,20,19.9
00,385123.184,-3,-2,20.2,20
01,385123.809,-3,-2.1,20.3,20.1
02,385124.558,-2.9,-2.3,20.5,20.2
03,385125.183,-2.7,-2.4,20.7,20.3
04,385125.808,-2.6,-2.7,20.8,20.5
05,385126.433,-2.7,-2.8,21.1,20.9
06,385127.058,-2.6,-2.7,21.3,21.1
07,385127.808,-2.4,-2.3,21.6,21.1
08,385128.433,-2.4,-2.1,21.7,21.3
09,385129.183,-2.6,-2.3,21.8,21.2
00,385129.729,-2.7,-2.2,21.9,21.6
01,385130.354,-2.8,-2.1,22.2,21.9
02,385130.978,-2.8,-2.1,22.3,22.1
03,385131.603,-2.7,-2.2,22.4,22
04,385132.352,-2.6,-2.4,22.3,21.9
05,385132.976,-2.6,-2.6,22.3,21.9
06,385133.601,-2.5,-2.5,22.2,22.1
07,385134.225,-2.3,-2.5,21.9,22
08,385134.849,-2.1,-2.5,21.5,21.8
09,385135.599,-1.9,-2.8,20.8,21.2
00,385136.223,-1.8,-2.9,20.4,20.6
01,385136.848,-1.7,-3.1,20.1,20.1
02,385137.472,-1.7,-3.1,19.9,19.7
03,385138.096,-1.6,-3,19.8,19.6
04,385138.846,-1.4,-2.8,19.9,19.6
05,385139.47,-1.4,-2.7,20,19.7
06,385140.095,-1.3,-2.4,20,19.6
07,385140.719,-1.2,-2.1,20.1,19.6
08,385141.344,-1.4,-2.1,20.1,19.8
09,385142.093,-1.8,-2,20.3,20.2
00,385142.717,-1.8,-1.7,20.6,20.7
01,385143.342,-1.7,-1.3,21,21.2
02,385143.966,-1.5,-1,21.4,21.6
03,385144.59,-1.4,-0.9,21.7,21.8
04,385145.215,-1.4,-1.4,21.7,21.8
05,385145.964,-1.4,-1.8,21.4,21.5
06,385146.589,-1.3,-2,21.1,21.2
